X,Y,Fuel
14447.7032,5832.6308, 7917
14571.7319,5817.8558, 7908
14695.9681,5804.7479, 7899
14820.3868,5793.3089, 7890
14944.9631,5783.5404, 7881
15069.6722,5775.4433, 7872
15194.4891,5769.0186, 7863
15319.389,5764.2665, 7854
15444.347,5761.1873, 7845
15569.3382,5759.7807, 7836
15694.3379,5760.0461, 7827
15819.3213,5761.9827, 7818
15944.2636,5765.5892, 7809
16069.1402,5770.8641, 7800
16193.9265,5777.8055, 7791
16318.5978,5786.4111, 7782
16443.1297,5796.6785, 7773
16567.4977,5808.6048, 7764
16691.6774,5822.1869, 7755
16815.6445,5837.4211, 7746
16939.3748,5854.3037, 7737
17062.8442,5872.8305, 7728
17186.0285,5892.9971, 7719
17308.9038,5914.7988, 7710
17431.4462,5938.2303, 7701
17553.632,5963.2864, 7692
17675.4375,5989.9612, 7683
17796.8391,6018.2489, 7674
17917.8135,6048.143, 7665
18038.3373,6079.6369, 7656
18158.3872,6112.7238, 7647
18277.9403,6147.3963, 7638
18396.9736,6183.6469, 7629
18515.4643,6221.4679, 7620
18633.3897,6260.851, 7611
18750.7273,6301.788, 7602
18867.4548,6344.27, 7593
18983.55,6388.2881, 7584
19098.9907,6433.8331, 7575
19213.7551,6480.8954, 7566
19327.8214,6529.4651, 7557
19441.1681,6579.5321, 7548
19553.7739,6631.0862, 7539
19665.6173,6684.1166, 7530
19776.6775,6738.6124, 7521
19886.9336,6794.5625, 7512
19996.3649,6851.9553, 7503
20104.9509,6910.7793, 7494
20212.6713,6971.0224, 7485
20319.5061,7032.6725, 7476
20425.4353,7095.717, 7467
20530.4393,7160.1433, 7458
20634.4985,7225.9384, 7449
20737.5938,7293.0891, 7440
20839.706,7361.582, 7431
20940.8163,7431.4035, 7422
21040.9062,7502.5396, 7413
21139.9571,7574.9762, 7404
21237.9509,7648.6989, 7395
21334.8697,7723.6932, 7386
21430.6958,7799.9444, 7377
21525.4116,7877.4373, 7368
21619.0,7956.1568, 7359
21711.4439,8036.0874, 7350
21802.7266,8117.2136, 7341
21892.8315,8199.5195, 7332
21981.7424,8282.989, 7323
22069.4433,8367.606, 7314
22155.9184,8453.354, 7305
22241.1521,8540.2165, 7296
22325.1293,8628.1766, 7287
22407.8349,8717.2175, 7278
22489.2542,8807.3218, 7269
22569.3726,8898.4725, 7260
22648.1761,8990.6519, 7251
22725.6506,9083.8425, 7242
22802.3213,9177.6312, 7233
22878.6632,9271.6616, 7224
22955.2441,9365.5164, 7215
23032.8357,9458.6191, 7206
23111.7514,9550.7118, 7197
23191.9762,9641.778, 7188
23273.4946,9731.8015, 7179
23356.2908,9820.7663, 7170
23440.3489,9908.6566, 7161
23525.653,9995.4567, 7152
23612.1866,10081.1514, 7143
23699.9333,10165.7255, 7134
23788.8764,10249.1641, 7125
23878.999,10331.4525, 7116
23970.284,10412.5764, 7107
24062.7141,10492.5214, 7098
24156.2719,10571.2737, 7089
24250.9398,10648.8195, 7080
24346.6999,10725.1454, 7071
24443.5343,10800.238, 7062
24541.4248,10874.0845, 7053
24640.3532,10946.6721, 7044
24740.3009,11017.9884, 7035
24841.2493,11088.0209, 7026
24943.1797,11156.7578, 7017
25046.0731,11224.1874, 7008
25149.9104,11290.2982, 6999
25254.6726,11355.0788, 6990
25360.34,11418.5185, 6981
25466.8935,11480.6064, 6972
25574.3132,11541.3322, 6963
25682.5795,11600.6856, 6954
25791.6725,11658.6568, 6945
25901.5722,11715.236, 6936
26012.2586,11770.414, 6927
26123.7114,11824.1815, 6918
26235.9104,11876.5298, 6909
26348.8351,11927.4501, 6900
26462.4651,11976.9343, 6891
26576.7798,12024.9743, 6882
26691.7584,12071.5623, 6873
26807.3802,12116.6908, 6864
26923.6243,12160.3526, 6855
27040.4699,12202.5407, 6846
27157.8959,12243.2484, 6837
27275.8812,12282.4693, 6828
27394.4047,12320.1973, 6819
27513.4452,12356.4265, 6810
27632.9815,12391.1513, 6801
